trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3069020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,89 -347,shp-74-53,1,1
4662020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -203,shp-74-53,1,1
6906020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,89 -345,shp-74-53,1,1
6963020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -206,shp-74-53,1,1
7092020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -206,shp-74-53,1,1
9428020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,89 -344,shp-74-53,1,1
7943020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -210,shp-74-53,1,1
8358020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -207,shp-74-53,1,1
72020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -201,shp-74-53,1,1
13463020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -204,shp-74-53,1,1
3008020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -204,shp-74-53,1,1
2865020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -202,shp-74-53,1,1
2840020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -208,shp-74-53,1,1
8924020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -207,shp-74-53,1,1
904020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -211,shp-74-53,1,1
9401070,74,1,INBOUND-EAST LIBERTY,,1,74 -116,shp-74-04,1,1
4333020,74,3,INBOUND-EAST LIBERTY,,1,74 -205,shp-74-03,1,1
1346010,74,4,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
1942080,74,2,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
6776080,74,2,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
8221070,74,1,INBOUND-EAST LIBERTY,,1,74 -119,shp-74-04,1,1
7666070,74,1,INBOUND-EAST LIBERTY,,1,74 -118,shp-74-04,1,1
4529010,74,4,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
4952070,74,1,INBOUND-EAST LIBERTY,,1,74 -121,shp-74-04,1,1
9018070,74,1,INBOUND-EAST LIBERTY,,1,74 -120,shp-74-04,1,1
9260010,74,4,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
12167020,74,3,INBOUND-EAST LIBERTY,,1,74 -204,shp-74-03,1,1
12652080,74,2,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
6960020,74,3,INBOUND-EAST LIBERTY,,1,74 -202,shp-74-03,1,1
7912070,74,1,INBOUND-EAST LIBERTY,,1,74 -117,shp-74-04,1,1
